"";"metric";"method";"mean_dist";"sd_dist";"min_dist";"max_dist";"setting";"min_node_size";"covered_effect_vars";"covered_noise_vars";"effect_var_fdr";"time";"mse_val_dat_rf";"mse_val_dat_tree";"mse_rf_pred";"probs_quantiles";"number_splits";"imp.num.var";"epsilon";"method_short";"scenario";"rel_MSE"
"92";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,79268333333333;3,77152343764935;4,42218684607301;1,19633578854693;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,1725200490413
"93";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,63713333333333;3,50741626448497;4,1200316032057;1,40527685995567;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,17466285508335
"94";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;3,19051666666667;3,45901275256113;3,6848171420864;1,40153901916362;"No quantiles";6;"5";0,05;"ART";"Scenario 1";1,0652800107077
"95";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;0,8;0;0;2,35278333333333;3,29770211119694;3,77052156658138;1,61248329342389;"No quantiles";6;"5";0,05;"ART";"Scenario 1";1,14337846155935
"96";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;0,8;0;0;3,30521666666667;3,5137373753103;3,84140807205217;1,414970179931;"No quantiles";6;"5";0,05;"ART";"Scenario 1";1,09325417973588
"97";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,65113333333333;3,45061071571963;4,02590692368324;1,25837606390504;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,16672301089856
"98";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,75928333333333;3,33048397561597;4,07669919278004;1,52050838896803;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,22405608993391
"99";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,67985;3,20027256320044;3,95384470624917;1,49313977628213;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,23547123820451
"100";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;0,8;0;0;1,50285;3,8874175066192;4,76021734514435;1,32578200221926;"No quantiles";4;"5";0,05;"ART";"Scenario 1";1,22451919225013
"101";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;0,6;0,0212765957446809;0,571428571428571;12,3091833333333;3,5818619512826;4,47018449781191;1,26077504592504;"No quantiles";7;"10";0,05;"ART";"Scenario 1";1,24800580218096
"102";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0,0319148936170213;0,333333333333333;11,638;3,08496568272283;3,319932145305;1,43680115868643;"No quantiles";9;"10";0,05;"ART";"Scenario 1";1,0761650166477
"103";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;0,8;0;0;5,78991666666667;3,6539446507898;4,30348053208499;1,33970832521489;"No quantiles";4;"10";0,05;"ART";"Scenario 1";1,17776292291532
"104";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;0,8;0;0;7,89508333333333;2,8642152171024;3,38664566575428;1,4526335476079;"No quantiles";5;"10";0,05;"ART";"Scenario 1";1,18239915964849
"105";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;0,8;0,0106382978723404;0,2;5,3681;3,56429256002087;5,20614966759716;0,965188101142018;"No quantiles";5;"10";0,05;"ART";"Scenario 1";1,46064038793905
"106";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0,0425531914893617;0,4;13,0619666666667;3,72982452023584;4,42960034233157;1,50003250756954;"No quantiles";10;"10";0,05;"ART";"Scenario 1";1,18761628551133
